Label,IATA,Latitude,Longitude,Country,Country_std
Mayo Airport,YMA,63.61640167,-135.8679962,Canada,Canada
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,50.33029938,-105.5589981,Canada,Canada
Fort McMurray Airport,YMM,56.65330124,-111.2220001,Canada,Canada
Moosonee Airport,YMO,51.29109955,-80.60780334,Canada,Canada
Maniwaki Airport,YMW,46.27280045,-75.99060059,Canada,Canada
Montreal International (Mirabel) Airport,YMX,45.679501,-74.038696,Canada,Canada
Natashquan Airport,YNA,50.18999863,-61.78919983,Canada,Canada
Ottawa / Gatineau Airport,YND,45.52170181,-75.56359863,Canada,Canada
Matagami Airport,YNM,49.76169968,-77.80280304,Canada,Canada
Old Crow Airport,YOC,67.57060242,-139.8390045,Canada,Canada
CFB Cold Lake,YOD,54.40499878,-110.2789993,Canada,Canada
High Level Airport,YOJ,58.62139893,-117.1650009,Canada,Canada
Ottawa Macdonald-Cartier International Airport,YOW,45.32249832,-75.66919708,Canada,Canada
Prince Albert Glass Field,YPA,53.21419907,-105.6729965,Canada,Canada
Peace River Airport,YPE,56.226898,-117.446999,Canada,Canada
Southport Airport,YPG,49.903099,-98.273817,Canada,Canada
Pickle Lake Airport,YPL,51.44639969,-90.21420288,Canada,Canada
Port Menier Airport,YPN,49.83639908,-64.28859711,Canada,Canada
Peterborough Airport,YPQ,44.22999954,-78.36329651,Canada,Canada
Prince Rupert Airport,YPR,54.28609848,-130.4450073,Canada,Canada
Fort Chipewyan Airport,YPY,58.76720047,-111.1169968,Canada,Canada
Muskoka Airport,YQA,44.97470093,-79.30329895,Canada,Canada
Quebec Jean Lesage International Airport,YQB,46.7911,-71.393303,Canada,Canada
Red Deer Regional Airport,YQF,52.18220139,-113.8939972,Canada,Canada
Windsor Airport,YQG,42.27560043,-82.95559692,Canada,Canada
Watson Lake Airport,YQH,60.11640167,-128.8220062,Canada,Canada
Kenora Airport,YQK,49.78829956,-94.36309814,Canada,Canada
Lethbridge County Airport,YQL,49.63029861,-112.8000031,Canada,Canada
Greater Moncton International Airport,YQM,46.11220169,-64.6785965,Canada,Canada
Comox Airport,YQQ,49.71080017,-124.887001,Canada,Canada
Regina International Airport,YQR,50.43190002,-104.6660004,Canada,Canada
Thunder Bay Airport,YQT,48.37189865,-89.32389832,Canada,Canada
Grande Prairie Airport,YQU,55.17969894,-118.8850021,Canada,Canada
Yorkton Municipal Airport,YQV,51.26470184,-102.461998,Canada,Canada
North Battleford Airport,YQW,52.76919937,-108.2440033,Canada,Canada
Gander International Airport,YQX,48.93690109,-54.56809998,Canada,Canada
Sydney / J.A. Douglas McCurdy Airport,YQY,46.1614,-60.047798,Canada,Canada
Quesnel Airport,YQZ,53.02610016,-122.5100021,Canada,Canada
Resolute Bay Airport,YRB,74.71690369,-94.9693985,Canada,Canada
Rivi�re-du-Loup Airport,YRI,47.76440048,-69.58470154,Canada,Canada
Roberval Airport,YRJ,48.52000046,-72.26560211,Canada,Canada
Rocky Mountain House Airport,YRM,52.42969894,-114.9039993,Canada,Canada
Rankin Inlet Airport,YRT,62.81140137,-92.11579895,Canada,Canada
Sudbury Airport,YSB,46.625,-80.79889679,Canada,Canada
Sherbrooke Airport,YSC,45.43859863,-71.69139862,Canada,Canada
Saint John Airport,YSJ,45.31610107,-65.89029694,Canada,Canada
Fort Smith Airport,YSM,60.02030182,-111.961998,Canada,Canada
Nanisivik Airport,YSR,72.982201,-84.613602,Canada,Canada
Summerside Airport,YSU,46.44060135,-63.83359909,Canada,Canada
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,71.99389648,-125.2429962,Canada,Canada
Cape Dorset Airport,YTE,64.23000336,-76.52670288,Canada,Canada
Thompson Airport,YTH,55.80110168,-97.86419678,Canada,Canada
CFB Trenton,YTR,44.1189003,-77.52809906,Canada,Canada
Timmins/Victor M. Power,YTS,48.56969833,-81.37670136,Canada,Canada
Billy Bishop Toronto City Centre Airport,YTZ,43.627499,-79.396202,Canada,Canada
Tuktoyaktuk Airport,YUB,69.4332962,-133.026001,Canada,Canada
Montreal / Pierre Elliott Trudeau International Airport,YUL,45.47060013,-73.74079895,Canada,Canada
Repulse Bay Airport,YUT,66.52140045,-86.22470093,Canada,Canada
Hall Beach Airport,YUX,68.77610016,-81.2425,Canada,Canada
Rouyn Noranda Airport,YUY,48.20610046,-78.83560181,Canada,Canada
La Ronge Airport,YVC,55.15140152,-105.262001,Canada,Canada
Vermilion Airport,YVG,53.35580063,-110.8239975,Canada,Canada
Qikiqtarjuaq Airport,YVM,67.54579926,-64.03140259,Canada,Canada
Val-d'Or Airport,YVO,48.05329895,-77.78279877,Canada,Canada
Kuujjuaq Airport,YVP,58.09609985,-68.42690277,Canada,Canada
Norman Wells Airport,YVQ,65.28160095,-126.7979965,Canada,Canada
Vancouver International Airport,YVR,49.19390106,-123.1839981,Canada,Canada
Buffalo Narrows Airport,YVT,55.84189987,-108.4179993,Canada,Canada
Wiarton Airport,YVV,44.7458,-81.107201,Canada,Canada
Petawawa Airport,YWA,45.95220184,-77.31919861,Canada,Canada
Winnipeg / James Armstrong Richardson International Airport,YWG,49.90999985,-97.23989868,Canada,Canada
Wabush Airport,YWK,52.9219017,-66.86440277,Canada,Canada
Williams Lake Airport,YWL,52.18310165,-122.0540009,Canada,Canada
Wrigley Airport,YWY,63.20940018,-123.4369965,Canada,Canada
Cranbrook/Canadian Rockies International Airport,YXC,49.6108017,-115.7819977,Canada,Canada
Edmonton City Centre (Blatchford Field) Airport,YXD,53.57249832,-113.5210037,Canada,Canada
Saskatoon John G. Diefenbaker International Airport,YXE,52.17079926,-106.6999969,Canada,Canada
Medicine Hat Airport,YXH,50.01890182,-110.7210007,Canada,Canada
Fort St John Airport,YXJ,56.23809814,-120.7399979,Canada,Canada
Sioux Lookout Airport,YXL,50.11389923,-91.90529633,Canada,Canada
Pangnirtung Airport,YXP,66.14499664,-65.71360016,Canada,Canada
Earlton (Timiskaming Regional) Airport,YXR,47.69740065,-79.84734535,Canada,Canada
Prince George Airport,YXS,53.88940048,-122.6790009,Canada,Canada
Northwest Regional Airport Terrace-Kitimat,YXT,54.468498,-128.576009,Canada,Canada
London Airport,YXU,43.035599,-81.1539,Canada,Canada
Abbotsford Airport,YXX,49.02529907,-122.3610001,Canada,Canada
Whitehorse / Erik Nielsen International Airport,YXY,60.70959854,-135.0670013,Canada,Canada
North Bay Jack Garland Airport,YYB,46.363602,-79.422798,Canada,Canada
Calgary International Airport,YYC,51.11389923,-114.0199966,Canada,Canada
Smithers Airport,YYD,54.8246994,-127.1829987,Canada,Canada
Fort Nelson Airport,YYE,58.83639908,-122.5970001,Canada,Canada
Penticton Airport,YYF,49.46310043,-119.6019974,Canada,Canada
Charlottetown Airport,YYG,46.29000092,-63.12110138,Canada,Canada
Taloyoak Airport,YYH,69.54669952,-93.5766983,Canada,Canada
Victoria International Airport,YYJ,48.64690018,-123.4260025,Canada,Canada
Lynn Lake Airport,YYL,56.86389923,-101.0759964,Canada,Canada
Swift Current Airport,YYN,50.29190063,-107.6910019,Canada,Canada
Churchill Airport,YYQ,58.73920059,-94.06500244,Canada,Canada
Goose Bay Airport,YYR,53.31919861,-60.42580032,Canada,Canada
St. John's International Airport,YYT,47.61859894,-52.75189972,Canada,Canada
Kapuskasing Airport,YYU,49.41389847,-82.46749878,Canada,Canada
Armstrong Airport,YYW,50.29029846,-88.90969849,Canada,Canada
Mont Joli Airport,YYY,48.60860062,-68.20809937,Canada,Canada
Lester B. Pearson International Airport,YYZ,43.67720032,-79.63059998,Canada,Canada
Downsview Airport,YZD,43.74250031,-79.46559906,Canada,Canada
Gore Bay Manitoulin Airport,YZE,45.88529968,-82.56780243,Canada,Canada
Yellowknife Airport,YZF,62.46279907,-114.4400024,Canada,Canada
Slave Lake Airport,YZH,55.29309845,-114.7770004,Canada,Canada
Sandspit Airport,YZP,53.25429916,-131.8139954,Canada,Canada
Chris Hadfield Airport,YZR,42.99940109,-82.30889893,Canada,Canada
Port Hardy Airport,YZT,50.68059921,-127.3669968,Canada,Canada
Whitecourt Airport,YZU,54.14390182,-115.7870026,Canada,Canada
Sept-�les Airport,YZV,50.22330093,-66.26560211,Canada,Canada
Teslin Airport,YZW,60.17279816,-132.7429962,Canada,Canada
CFB Greenwood,YZX,44.9844017,-64.91690063,Canada,Canada
Faro Airport,ZFA,62.20750046,-133.3760071,Canada,Canada
Fort Mcpherson Airport,ZFM,67.40750122,-134.8609924,Canada,Canada
Blida Airport,QLD,36.50360107,2.814169884,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Bou Saada Airport,BUJ,35.33250046,4.206389904,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Soummam Airport,BJA,36.7120018,5.069920063,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Houari Boumediene Airport,ALG,36.69100189,3.215409994,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Djanet Inedbirene Airport,DJG,24.292801,9.45244,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Illizi Takhamalt Airport,VVZ,26.7234993,8.622650146,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Aguenar � Hadj Bey Akhamok Airport,TMR,22.81150055,5.451079845,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Jijel Ferhat Abbas Airport,GJL,36.79510117,5.87361002,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Mecheria Airport,MZW,33.53590012,-0.242353007,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Rabah Bitat Airport,AAE,36.822201,7.809174,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Mohamed Boudiaf International Airport,CZL,36.27600098,6.620389938,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Cheikh Larbi T�bessi Airport,TEE,35.43159866,8.12071991,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Hassi R'Mel Airport,HRM,32.93040085,3.311539888,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Bou Chekif Airport,TID,35.34109879,1.463150024,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Tindouf Airport,TIN,27.7003994,-8.167099953,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Ech Cheliff Airport,CFK,36.21269989,1.331769943,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Tafaraoui Airport,TAF,35.54240036,-0.532278001,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Zenata � Messali El Hadj Airport,TLM,35.01670074,-1.450000048,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Es Senia Airport,ORN,35.62390137,-0.621182978,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Sidi Bel Abbes Airport,BFW,35.17179871,-0.593275011,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Ghriss Airport,MUW,35.20769882,0.147141993,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,27.83760071,-0.186414003,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Biskra Airport,BSK,34.79330063,5.738230228,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
El Golea Airport,ELG,30.57130051,2.859590054,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Noum�rat - Moufdi Zakaria Airport,GHA,32.38410187,3.79411006,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Oued Irara Airport,HME,31.67300034,6.140439987,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
In Salah Airport,INZ,27.25099945,2.512020111,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Touggourt Sidi Madhi Airport,TGR,33.06779861,6.088669777,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Laghouat Airport,LOO,33.76440048,2.928339958,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Timimoun Airport,TMX,29.2371006,0.276033014,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Ain el Beida Airport,OGX,31.91720009,5.412779808,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
In Am�nas Airport,IAM,28.0515,9.64291,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Cadjehoun Airport,COO,6.357230186,2.384350061,Bénin,Bénin
Ouagadougou Airport,OUA,12.3532,-1.51242,Burkina Faso,Burkina Faso
Bobo Dioulasso Airport,BOY,11.16009998,-4.33096981,Burkina Faso,Burkina Faso
Kotoka International Airport,ACC,5.6051898,-0.166786,Ghana,Ghana
Tamale Airport,TML,9.557189941,-0.863214016,Ghana,Ghana
Sunyani Airport,NYI,7.361830235,-2.328759909,Ghana,Ghana
Takoradi Airport,TKD,4.89605999,-1.774760008,Ghana,Ghana
Port Bouet Airport,ABJ,5.261390209,-3.926290035,Côte d’Ivoire,Côte d’Ivoire
Bouak� Airport,BYK,7.738800049,-5.07366991,Côte d’Ivoire,Côte d’Ivoire
Daloa Airport,DJO,6.792809963,-6.473189831,Côte d’Ivoire,Côte d’Ivoire
Korhogo Airport,HGO,9.387180328,-5.556660175,Côte d’Ivoire,Côte d’Ivoire
Man Airport,MJC,7.272069931,-7.587359905,Côte d’Ivoire,Côte d’Ivoire
San Pedro Airport,SPY,4.746719837,-6.660820007,Côte d’Ivoire,Côte d’Ivoire
Yamoussoukro Airport,ASK,6.903170109,-5.365580082,Côte d’Ivoire,Côte d’Ivoire
Nnamdi Azikiwe International Airport,ABV,9.006790161,7.263169765,Nigeria,Nigeria
Akure Airport,AKR,7.246739864,5.301010132,Nigeria,Nigeria
Benin Airport,BNI,6.316979885,5.599500179,Nigeria,Nigeria
Margaret Ekpo International Airport,CBQ,4.976019859,8.347200394,Nigeria,Nigeria
Akanu Ibiam International Airport,ENU,6.474269867,7.56196022,Nigeria,Nigeria
Ibadan Airport,IBA,7.362460136,3.978329897,Nigeria,Nigeria
Ilorin International Airport,ILR,8.440210342,4.493919849,Nigeria,Nigeria
Yakubu Gowon Airport,JOS,9.639829636,8.869050026,Nigeria,Nigeria
Kaduna Airport,KAD,10.6960001,7.320109844,Nigeria,Nigeria
Mallam Aminu International Airport,KAN,12.0476,8.52462,Nigeria,Nigeria
Maiduguri International Airport,MIU,11.85529995,13.08090019,Nigeria,Nigeria
Makurdi Airport,MDI,7.70388,8.61394,Nigeria,Nigeria
Murtala Muhammed International Airport,LOS,6.577370167,3.321160078,Nigeria,Nigeria
Minna Airport,MXJ,9.652170181,6.462259769,Nigeria,Nigeria
Port Harcourt International Airport,PHC,5.015490055,6.949590206,Nigeria,Nigeria
Sadiq Abubakar III International Airport,SKO,12.91629982,5.207190037,Nigeria,Nigeria
Yola Airport,YOL,9.25755024,12.43039989,Nigeria,Nigeria
Zaria Airport,ZAR,11.1302,7.68581,Nigeria,Nigeria
Maradi Airport,MFQ,13.50249958,7.126749992,Niger,Niger
Diori Hamani International Airport,NIM,13.4815,2.18361,Niger,Niger
Tahoua Airport,THZ,14.8757,5.265359879,Niger,Niger
Mano Dayak International Airport,AJY,16.9659996,8.000109673,Niger,Niger
Zinder Airport,ZND,13.77900028,8.98375988,Niger,Niger
Monastir Habib Bourguiba International Airport,MIR,35.7580986,10.75469971,تونس,تونس
Tunis Carthage International Airport,TUN,36.85100174,10.22719955,تونس,تونس
Gafsa Ksar International Airport,GAF,34.42200089,8.822500229,تونس,تونس
Gab�s Matmata International Airport,GAE,33.87689972,10.10330009,تونس,تونس
Djerba Zarzis International Airport,DJE,33.875,10.7755003,تونس,تونس
El Borma Airport,EBM,31.70429993,9.254619598,تونس,تونس
Sfax Thyna International Airport,SFA,34.7179985,10.69099998,تونس,تونس
Tozeur Nefta International Airport,TOE,33.93970108,8.110560417,تونس,تونس
Niamtougou International Airport,LRL,9.76733017,1.091249943,Togo,Togo
Lom�-Tokoin Airport,LFW,6.165609837,1.254510045,Togo,Togo
Antwerp International Airport (Deurne),ANR,51.18939972,4.460279942,België / Belgique / Belgien,België / Belgique / Belgien
Brussels Airport,BRU,50.90140152,4.48443985,België / Belgique / Belgien,België / Belgique / Belgien
Brussels South Charleroi Airport,CRL,50.459202,4.45382,België / Belgique / Belgien,België / Belgique / Belgien
Wevelgem Airport,KJK,50.81719971,3.20472002,België / Belgique / Belgien,België / Belgique / Belgien
Li�ge Airport,LGG,50.63740158,5.443220139,België / Belgique / Belgien,België / Belgique / Belgien
Ostend-Bruges International Airport,OST,51.19889832,2.862220049,België / Belgique / Belgien,België / Belgique / Belgien
Zoersel (Oostmalle) Airfield,OBL,51.264702,4.75333,België / Belgique / Belgien,België / Belgique / Belgien
Altenburg-Nobitz Airport,AOC,50.981945,12.506389,Deutschland,Germany
Riesa-G�hlis Airport,IES,51.29360962,13.35611057,Deutschland,Germany
Rechlin-L�rz Airport,REB,53.30638886,12.75222206,Deutschland,Germany
Sch�nhagen Airport,QXH,52.203609,13.156389,Deutschland,Germany
Barth Airport,BBH,54.338253,12.710515,Deutschland,Germany
"Magdeburg ""City"" Airport",ZMG,52.073612,11.626389,Deutschland,Germany
Cottbus-Drewitz Airport,CBU,51.889442,14.531944,Deutschland,Germany
Berlin-Sch�nefeld Airport,SXF,52.380001,13.5225,Deutschland,Germany
Dresden Airport,DRS,51.13280106,13.76720047,Deutschland,Germany
Erfurt Airport,ERF,50.97980118,10.95810032,Deutschland,Germany
Frankfurt am Main Airport,FRA,50.033333,8.570556,Deutschland,Germany
M�nster Osnabr�ck Airport,FMO,52.13460159,7.684830189,Deutschland,Germany
Hamburg Airport,HAM,53.63040161,9.988229752,Deutschland,Germany
Berlin-Tempelhof International Airport,THF,52.47299957,13.40390015,Deutschland,Germany
Cologne Bonn Airport,CGN,50.86589813,7.142739773,Deutschland,Germany
D�sseldorf Airport,DUS,51.289501,6.76678,Deutschland,Germany
Munich Airport,MUC,48.353802,11.7861,Deutschland,Germany
Nuremberg Airport,NUE,49.498699,11.078056,Deutschland,Germany
Leipzig/Halle Airport,LEJ,51.423889,12.236389,Deutschland,Germany
Saarbr�cken Airport,SCN,49.21459961,7.109509945,Deutschland,Germany
Stuttgart Airport,STR,48.68989944,9.221960068,Deutschland,Germany
Berlin-Tegel Airport,TXL,52.5597,13.2877,Deutschland,Germany
Hannover Airport,HAJ,52.46110153,9.685079575,Deutschland,Germany
Bremen Airport,BRE,53.04750061,8.786669731,Deutschland,Germany
Frankfurt-Egelsbach Airport,QEF,49.959999,8.645833,Deutschland,Germany
Frankfurt-Hahn Airport,HHN,49.9487,7.26389,Deutschland,Germany
Mannheim-City Airport,MHG,49.473057,8.514167,Deutschland,Germany
Eisenach-Kindel Airport,EIB,50.991604,10.47973,Deutschland,Germany
Siegerland Airport,SGE,50.70769882,8.082969666,Deutschland,Germany
Hamburg-Finkenwerder Airport,XFW,53.53527832,9.83555603,Deutschland,Germany
Kiel-Holtenau Airport,KEL,54.37944412,10.14527798,Deutschland,Germany
L�beck Blankensee Airport,LBC,53.80540085,10.71920013,Deutschland,Germany
Essen Mulheim Airport,ESS,51.40230179,6.937329769,Deutschland,Germany
Bielefeld Airport,BFE,51.964722,8.544444,Deutschland,Germany
M�nchengladbach Airport,MGL,51.230278,6.504444,Deutschland,Germany
